,gamma,token_size,delta,z_score,p_value,num_tokens_scored,num_green_tokens
0,0.1,50,5,4.146424660543675,1.6885361478265776e-05,363,60
1,0.25,50,5,2.002760525813535,0.022601499362100177,362,107
2,0.5,50,5,3.09669689838072,0.0009784492637849326,363,211
3,0.75,50,5,1.1818181818181819,0.11863892593413916,363,282
4,0.9,50,5,0.7523048962167872,0.22593386204447335,363,331
5,0.1,100,5,9.628127232536903,3.0413968846843473e-22,413,100
6,0.25,100,5,5.382453243615593,3.673873327668553e-08,411,150
7,0.5,100,5,5.1667122287037905,1.1912382398273851e-07,413,259
8,0.75,100,5,2.5284499042857553,0.005728371747493974,413,332
9,0.9,100,5,1.5254102770458833,0.06357839850783116,413,381
10,0.1,150,5,14.360447841311347,4.581654967660481e-47,463,139
11,0.25,150,5,7.860375770049217,1.914913943305665e-15,460,188
12,0.5,150,5,6.645773596464475,1.5081430138752584e-11,463,303
13,0.75,150,5,3.729612204965021,9.588734674835003e-05,463,382
14,0.9,150,5,2.2152578654881605,0.013371185056971428,463,431
15,0.1,200,5,18.646472182237893,6.744474686614525e-78,513,178
16,0.25,200,5,10.0728068535288,3.643414120556779e-24,510,226
17,0.5,200,5,8.344553849509776,3.5741614571649614e-17,513,351
18,0.75,200,5,4.7157678628948805,1.2040042996598519e-06,513,431
19,0.9,200,5,2.84038605459504,0.0022529483550174927,513,481
